fname,corpus,TimeSig,KeySig,last_mc,last_mn,length_qb,last_mc_unfolded,last_mn_unfolded,length_qb_unfolded,all_notes_qb,n_onsets,n_onset_positions,guitar_chord_count,form_label_count,label_count,composed_start,composed_end,composer,workTitle,movementNumber,movementTitle,workNumber,poet,lyricist,arranger,copyright,creationDate,mscVersion,platform,source,translator,title_text,subtitle_text,composer_text,musescore,ms3_version,subdirectory,rel_path,has_drumset,ambitus,typesetter,pdf,staff_1_instrument,staff_1_ambitus,staff_2_instrument,staff_2_ambitus,originalFormat,transcriber,staff_3_instrument,staff_3_ambitus,volta_mcs,part_name_text,text,lyricist_text,comments,comment,annotated_key,harmony_version,annotators,reviewers,composed_source,imslp,viaf,musicbrainz,wikidata,year,median_recording,qb_per_minute,sounding_notes_per_qb,sounding_notes_per_minute,percentage_resonances_1,percentage_resonances_2,percentage_resonances_3,percentage_resonances_4,percentage_resonances_5,percentage_resonances_6,percentage_resonances_entropy_1,percentage_resonances_entropy_2,percentage_resonances_entropy_3,percentage_resonances_entropy_4,percentage_resonances_entropy_5,percentage_resonances_entropy_6,moments_of_inertia_1,moments_of_inertia_2,moments_of_inertia_3,moments_of_inertia_4,moments_of_inertia_5,moments_of_inertia_6,partition_entropy,inverse_coherence
l000_etude,debussy_other_piano_pieces,1: 4/4,"1: -4, 7: 0, 9: -5, 38: 0, 42: -4, 48: -3, 57: -4, 64: 0, 66: -4",73,71,284.0,73,71,284.0,959.25,2473,1901,0,0,0,1915,1915,Claude Debussy,Etude Retrouve,,,,,,,,2021-05-19,,Microsoft Windows,http://musescore.com/user/33144689/scores/6884844,,Étude Retrouvée,,Claude Debussy,3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l000_etude.mscx,0,25-96 (Db1-C7),https://musescore.com/user/33144689,,Piano,32-96 (Ab1-C7),Piano,25-91 (Db1-G6),,,,,,,,,,,,,,,,,,,,1915.0,272.553,62.51995024820861,3.3776408450704225,211.1699375901201,0.996925213251339,0.0020333267208887127,0.15572307081928188,0.3224062685975005,0.5189446538385241,0.003967466772465781,3.675414195335957e-05,0.00033718798184559427,0.03623243100556352,0.07449875512518751,0.11318066095627989,0.0005872402925509732,1.9016256312822405e-08,3.4350622195046176e-06,0.004492603128727266,0.006561310035750709,0.03259558969069725,2.6021782545025843e-05,0.13053414712673714,-0.33218616201084983
l000_soirs,debussy_other_piano_pieces,1: 4/4,1: -4,23,23,92.0,23,23,92.0,528.0,462,134,0,0,0,1917,1917,Claude Debussy,,,,,,,,,2021-07-02,,Microsoft Windows,http://musescore.com/user/37796349/scores/6853240,,Les soirs illuminés par l'ardeur du charbon ,,Claude Debussy,3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l000_soirs.mscx,0,32-89 (Ab1-F6),https://musescore.com/sansenk,,Piano,54-89 (Gb3-F6),Piano,50-77 (D3-F5),,,Piano,32-39 (Ab1-Eb2),,,,,,,,,,,,,,,,1917.0,145.8265,37.85320226433467,5.739130434782608,217.24446516922507,0.9887640449438202,0.007322307789420527,0.25198838530488576,0.18179522787526828,0.5302360813028658,0.039893952783739424,0.0,0.002271733662031528,0.061014289049121304,0.04216191601615802,0.09647285018159314,0.00915737079576728,0.0,7.947714313918503e-06,0.005599152092066949,0.004763472196037281,0.050803347586687114,0.00038252391019114165,0.1538962903937144,-0.4220599010057424
l009_danse,debussy_other_piano_pieces,1: 2/4,"1: 2, 45: 5, 61: 2",92,92,184.0,92,92,184.0,586.5,1194,486,0,0,0,1880,1880,Claude Debussy,Danse Bohemian,,,,,,,Public Domain Work ,2021-10-08,,Microsoft Windows,http://musescore.com/user/35830795/scores/7275327,,Danse Bohémienne,,"Claude Debussy
(1880)",3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l009_danse.mscx,0,35-94 (B1-A#6),https://musescore.com/yazen23434/,,Piano,49-94 (C#3-A#6),Piano,35-71 (B1-B4),,,,,,,,,,,,,,,,,,,,1880.0,124.5995,88.60388685347854,3.1875,282.4248893454629,0.9947744035354893,0.0015527486637403327,0.07357639822031115,0.05374899220639613,0.8754516408372899,0.0008958165367732689,8.239907110668463e-06,0.0003275478724299457,0.019092868807055557,0.011483313495636542,0.30509146198427245,0.0001452178374564095,0.0,8.055410722328089e-07,0.0007792362305217885,0.00015906995953897724,0.06976111293202426,5.825152607712277e-08,0.09187644426933037,-0.42677886692582545
l066-01_arabesques_premiere,debussy_deux_arabesques,"1: 4/4, 94: 2/4, 95: 4/4","1: 4, 39: 3, 71: 4",107,107,426.0,107,107,426.0,1207.83,1484,1018,0,0,0,1888,1888,Claude Debussy,Premiere Arabesque,,,,,,,,2018-04-28,,Microsoft Windows,http://musescore.com/user/24069/scores/5077352,,Première Arabesque,,"Claude Debussy
L. 66, No. 1     ",3.6.2,1.2.9,debussy_deux_arabesques/MS3,debussy_deux_arabesques/MS3/l066-01_arabesques_premiere.mscx,0,28-92 (E1-G#6),https://musescore.com/hmscomp,https://imslp.org/wiki/Special:ReverseLookup/2821,Piano,50-92 (D3-G#6),Piano,28-83 (E1-B5),,,,,,,,,,,,,,,,,,,,1888.0,240.778,106.15587802872356,2.835281690140845,300.9818172756647,0.9976694666599601,0.00039121662782444435,0.0854305338989208,0.02428896377892907,0.8899060521212324,0.002313766913133142,8.0726690136458e-21,4.3085411666460643e-05,0.031662249848611754,0.00504563763095902,0.433356173622841,0.00027142023157777933,6.246957138217542e-10,3.819923452165801e-09,0.001682775715479216,1.396220600819132e-05,0.07180844285003214,2.9374227838208194e-07,0.08540807625328088,-0.4306290983798326
l066-02_arabesques_deuxieme,debussy_deux_arabesques,1: 4/4,1: 1,110,110,440.0,110,110,440.0,1222.0,1810,1048,0,0,0,1891,1891,Claude Debussy,,,,,,,,,2022-01-31,,Microsoft Windows,https://musescore.com/classicman/scores/110108,,"<font size=""24""/>Deuxième Arabesque",,"<font size=""12""/>Claude Debussy",3.6.2,1.2.9,debussy_deux_arabesques/MS3,debussy_deux_arabesques/MS3/l066-02_arabesques_deuxieme.mscx,0,29-93 (F1-A6),https://musescore.com/classicman,"https://imslp.org/wiki/2_Arabesques_(Debussy,_Claude)#IMSLP02821",Piano,41-93 (F2-A6),Piano,29-81 (F1-A5),mxl,,,,,,,,,,,,,,,,,,,1891.0,213.933,123.40312153805164,2.7772727272727273,342.7241239079525,0.9996596306206766,0.0004817535830422739,0.050018589404563045,0.03929433572988286,0.8132209939833167,0.09732469667851851,0.00016655697780012827,5.837008491588378e-05,0.009397516761516565,0.008818807057912903,0.22621041363356684,0.010529739980672252,1.2486217020066174e-06,4.5726130297537294e-08,0.00044501707888905135,3.797596176803375e-05,0.05832465601820997,0.0019405800483732584,0.0835379972830357,-0.3719120312608361
l067_mazurka,debussy_other_piano_pieces,1: 3/4,"1: 3, 54: 2, 111: 3",138,138,414.0,138,138,414.0,1436.5,1187,645,0,0,0,1890,1890,Claude Debussy,Mazurka,,,,,,,,2019-09-03,3.02,Apple Macintosh,http://musescore.com/user/4887176/scores/5699433,,Mazurka,,Claude Debussy,3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l067_mazurka.mscx,0,28-91 (E1-G6),https://musescore.com/user/4887176,,Piano,50-91 (D3-G6),Piano,28-74 (E1-D5),,,,,,,,,,,,,,,,,,,,1890.0,175.913,141.2061644108167,3.4698067632850242,489.9581042901889,0.9982353182583001,0.001067016867074322,0.04769917159624551,0.14016614976930158,0.8124336778664353,0.0003986656426431532,2.8851228565434688e-05,8.151751947684823e-05,0.004012831470949342,0.018357494076967115,0.13594201274504258,2.4959154556330214e-05,2.4516908389833657e-08,3.1957058603197465e-08,0.0006052996124465256,0.0013895316734122691,0.06198988572491446,2.980070724454497e-09,0.10351738471280697,-0.46064966860846673
l068_reverie,debussy_other_piano_pieces,"1: 4/4, 75: 3/4, 76: 4/4","1: -1, 59: 4, 69: 0, 76: -1",101,101,403.0,101,101,403.0,1286.0,1253,723,0,0,0,1890,1890,Claude Debussy,Reverie,,,,,,,,2016-10-09,,Microsoft Windows,http://musescore.com/user/24069/scores/2749626,,Rêverie,,Claude Debussy,3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l068_reverie.mscx,0,26-93 (D1-A6),https://musescore.com/hmscomp,,Piano,53-93 (F3-A6),Piano,26-79 (D1-G5),,,,,,,,,,,,,,,,,,,,1890.0,265.42650000000003,91.09866573232136,3.1910669975186106,290.70194573639026,0.9976048125411769,0.001822559094631455,0.1137375391757846,0.05393789753030928,0.8295229944153342,0.00337419724276364,1.7262843173795964e-06,0.0001997307660719776,0.02522151117847329,0.012482326739301079,0.29607614371686186,0.000433533242536545,9.18292702553367e-10,7.330684968701614e-07,0.0015896377380599485,0.0003015369114562484,0.05011490634606189,3.1814785952588926e-06,0.0886042136530836,-0.30317382033957235
l069_tarentelle,debussy_other_piano_pieces,"1: 6/8, 325: 3/4, 329: 6/8","1: 4, 96: -3, 112: 4, 179: 1, 271: 4",333,333,999.0,333,333,999.0,3643.5,3997,1675,0,0,0,1890,1890,Claude Debussy,,,,,,,,Domaine Public J. Jobert 1923 (J.J. 209),2022-01-26,3.02,Linux,https://musescore.com/user/56409/scores/263276#comments,,"<font face=""Times New Roman""/>Danse","<font face=""Times New Roman""/>Tarentelle Styrienne","<font face=""Times New Roman""/>Claude Debussy 1890. Edition revue par Maurice Ravel",3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l069_tarentelle.mscx,0,28-95 (E1-B6),https://musescore.com/user/56409,,Piano,51-95 (Eb3-B6),Piano,28-87 (E1-D#6),,,,,,,,,,,,,,,,,,,,1890.0,331.529,180.79866316370513,3.6471471471471473,659.3993285655251,0.9991217383343611,0.00046478452408378596,0.18310498194684355,0.1441234435503099,0.6718953248914246,0.0012897267529770858,1.6417965105554592e-07,4.097557688329862e-05,0.017785797234781697,0.021657035674585625,0.11572721181732251,8.924543478721338e-05,3.260255041385904e-10,7.940413028022313e-09,0.002951449373845407,0.001765018980811132,0.05096722129241521,1.0134050002930357e-07,0.10205578820648108,-0.3441820097450533
l070_ballade,debussy_other_piano_pieces,1: 4/4,"1: -1, 63: 4, 86: 0, 88: -1",105,105,420.0,105,105,420.0,2146.08,3070,1617,0,0,0,1890,1890,Claude Debussy,Ballade,,,,,,,,2019-10-23,3.02,Microsoft Windows,http://musescore.com/user/3797871/scores/5825949,,Ballade,,"CRAUDE DEBUSSY

",3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l070_ballade.mscx,0,29-93 (F1-A6),https://musescore.com/user/3797871,,Piano,40-93 (E2-A6),Piano,29-88 (F1-E6),,,,,,,,,,,,,,,,,,,,1890.0,396.02,63.63314984091713,5.109714285714285,325.14721478713193,0.9980952380952381,0.032664399092970524,0.08620181405895691,0.326859410430839,0.5537868480725624,0.0023922902494331066,5.21491542052772e-05,0.007478022075694734,0.017800740314822296,0.0663690147045247,0.16327413211597816,0.0003600546428606455,2.470492144263913e-08,0.000654914585356325,0.001730653811622673,0.017259447086922976,0.021901873731646485,5.566631929797774e-07,0.12514440547446723,-0.22715935293682565
l071_valse,debussy_other_piano_pieces,1: 3/4,"1: -4, 119: -1",151,151,453.0,151,151,453.0,1532.83,1614,828,0,0,0,1890,1890,Claude Debussy,Valse romantique,,,,,,,,2019-08-31,3.02,Apple Macintosh,http://musescore.com/user/4887176/scores/5696215,,Valse romantique,,Claude Debussy,3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l071_valse.mscx,0,25-93 (Db1-A6),https://musescore.com/user/4887176,,Piano,50-93 (D3-A6),Piano,25-88 (Db1-E6),,,,,,,,,,,,,,,,,,,,1890.0,221.45,122.73650937006097,3.3837306843267108,415.3072928426281,0.9982940103539314,0.0053392067885605285,0.023628202417883885,0.3078549269669274,0.663202245810001,0.001681407662695857,6.177021900554256e-06,0.0004278882244669952,0.0021865547303373052,0.04984781858363257,0.08270192011821953,9.522970385593563e-05,1.0111876522817989e-08,1.3295544374610296e-05,2.8253032669726298e-05,0.016925311514163533,0.04662360105638703,3.0420614481054217e-07,0.11246383966688894,-0.40101961382425766
l075-01_suite_prelude,debussy_suite_bergamasque,1: 4/4,1: -1,89,89,356.0,89,89,356.0,1533.67,1721,870,0,0,274,1890,1905,Claude Debussy,Suite Bergamasque,1,Prelude,L.75,,,,,2015-05-19,3.02,Microsoft Windows,http://musescore.com/score/890041,,Suite Bergamasque,1. Prelude,Claude Debussy,3.6.2,1.1.1,debussy_suite_bergamasque/MS3,debussy_suite_bergamasque/MS3/l075-01_suite_prelude.mscx,0,24-94 (C1-Bb6),,,Piano,48-94 (C3-Bb6),Piano,24-90 (C1-F#6),,,,,,,<b>Prélude</b>,,,,F,2.3.0,"Adrian Nagel (2.1.1), Amelia Brey (2.3.0)","AB, AN",Oxford Music Online,https://imslp.org/wiki/Suite_bergamasque_(Debussy%2C_Claude),https://viaf.org/viaf/177398380,https://musicbrainz.org/work/fe4cfa64-156a-3d74-bf2e-7c12f01908bb,https://www.wikidata.org/wiki/Q29117932,1897.5,245.458,87.02099748225766,4.308061797752809,374.89183485565763,0.9973918416807774,0.0010914139428131195,0.024877817814122575,0.03152260270124951,0.9444422152492998,0.0006741086117375149,2.704738330189742e-20,0.00020218620115323877,0.006527173097773847,0.007577049637220558,0.3170993403738513,0.00016917651076038442,1.2880454093499993e-10,2.473031960464145e-06,0.0002946787843022343,4.829296369019043e-05,0.06510926050882704,3.016667906229002e-08,0.06782386447661741,-0.43003705116931007
l075-02_suite_menuet,debussy_suite_bergamasque,1: 3/4,"1: 0, 73: -3, 80: 3, 97: 0",104,104,312.0,104,104,312.0,1266.0,2332,1073,0,0,305,1890,1905,Claude Debussy,Suite Bergamasque,2,Menuet,L.75,,,,,2015-05-19,3.02,Microsoft Windows,http://musescore.com/score/890041,,Suite Bergamasque,2. Menuet,Claude Debussy,3.6.2,1.1.1,debussy_suite_bergamasque/MS3,debussy_suite_bergamasque/MS3/l075-02_suite_menuet.mscx,0,27-93 (Eb1-A6),,,Piano,50-93 (D3-A6),Piano,27-77 (Eb1-F5),,,,,,,; <b>Menuet</b>,,,,a,2.3.0,"Adrian Nagel (2.1.1), Amelia Brey (2.3.0)","AB, AN",Oxford Music Online,https://imslp.org/wiki/Suite_bergamasque_(Debussy%2C_Claude),https://viaf.org/viaf/177398380,https://musicbrainz.org/work/82ea1cd4-1692-3b55-99a8-9b387cfa2ba3,https://www.wikidata.org/wiki/Q29117940,1897.5,249.453,75.04419670238482,4.0576923076923075,304.5062596962153,0.9971488033298648,0.012403746097814776,0.08903225806451613,0.04611862643080125,0.8438709677419355,0.011425598335067637,2.212233614353716e-05,0.0022387201397279276,0.024956393327013257,0.010776299643161583,0.3120876831510527,0.0012132055336414275,2.881127106937591e-08,8.890158538525178e-05,0.0010560369227277026,9.763405332737915e-05,0.05138068026736985,2.1394811580182655e-05,0.08951881691406283,-0.29001585257934753
l075-03_suite_clair,debussy_suite_bergamasque,1: 9/8,"1: -5, 37: 4, 43: -5",72,72,324.0,72,72,324.0,1464.0,1559,773,0,0,150,1890,1905,Claude Debussy,Suite Bergamasque,3,Clair de Lune,L.75,,,,,2015-05-19,3.02,Microsoft Windows,http://musescore.com/score/890041,,Suite Bergamasque,3. Clair de Lune,Claude Debussy,3.6.2,1.1.1,debussy_suite_bergamasque/MS3,debussy_suite_bergamasque/MS3/l075-03_suite_clair.mscx,0,27-97 (Eb1-C#7),,,Piano,54-97 (Gb3-C#7),Piano,27-97 (Eb1-C#7),,,,,,,<b>Clair de lune</b>,,,,Db,2.3.0,"Adrian Nagel (2.1.1), Amelia Brey (2.3.0)","AB, AN",Oxford Music Online,https://imslp.org/wiki/Suite_bergamasque_(Debussy%2C_Claude),https://viaf.org/viaf/177398380,https://musicbrainz.org/work/8d331505-4d88-39ae-81c7-bec5da77af96,https://www.wikidata.org/wiki/Q29117946,1897.5,303.454,64.06242791329163,4.518518518518518,289.4672668674659,0.996913699317156,0.00017360441340997647,0.016164499826395586,0.064773735581189,0.9207978087265152,0.001176652135334285,2.4198903515712176e-07,7.572522986284178e-06,0.001498529136271167,0.007657339446788839,0.15875532516525917,7.770012130080443e-05,1.7885922144797737e-09,4.9549317597005415e-09,2.7898154137645335e-05,0.00018469229420147286,0.08702350573003602,1.330359754669808e-07,0.07420746619016132,-0.5198021472583281
l075-04_suite_passepied,debussy_suite_bergamasque,1: 4/4,"1: 3, 76: -4, 88: 3",156,156,624.0,156,156,624.0,1825.33,2160,1285,0,0,284,1890,1905,Claude Debussy,Suite Bergamasque,4,Passepied,L.75,,,,,2015-05-19,3.02,Microsoft Windows,http://musescore.com/score/890041,,Suite Bergamasque,4. Passepied,Claude Debussy,3.6.2,1.1.1,debussy_suite_bergamasque/MS3,debussy_suite_bergamasque/MS3/l075-04_suite_passepied.mscx,0,30-97 (F#1-C#7),,,Piano,50-97 (D3-C#7),Piano,30-76 (F#1-E5),,,,,,,<b>Passepied</b>,,,,f#,2.3.0,"Adrian Nagel (2.1.1), Amelia Brey (2.3.0)","AB, AN",Oxford Music Online,https://imslp.org/wiki/Suite_bergamasque_(Debussy%2C_Claude),https://viaf.org/viaf/177398380,https://musicbrainz.org/work/59cce5c6-5483-32c4-8823-5841ae4e8a69,https://www.wikidata.org/wiki/Q29117951,1897.5,223.143,167.78478374853793,2.9252083333333334,490.80544762775435,0.9985556514997108,0.001545478826162156,0.02289175684120724,0.10576676235151346,0.8664742597389801,0.004766090742426246,6.192371811979514e-07,0.0001992741481643368,0.0037437428711606705,0.015954242286647703,0.18635567435307318,0.0005560878346217923,4.921839524356751e-10,2.9222513640131143e-06,8.079793890455818e-05,0.0008259705739131498,0.05758289233014338,4.179408641186924e-06,0.07454713955107828,-0.37161146486111213
l082_nocturne,debussy_other_piano_pieces,"1: 4/4, 32: 7/4, 47: 4/4","1: -5, 28: 3, 32: -1, 55: -5",77,77,355.0,77,77,355.0,1625.42,2156,1046,0,0,0,1892,1892,Claude Debussy,Nocturne ,,,,,,,,2018-09-08,3.02,Microsoft Windows,http://musescore.com/user/22164946/scores/6672848,,Nocturne ,for Piano,Claude Debussy,3.6.2,1.2.9,debussy_other_piano_pieces/MS3,debussy_other_piano_pieces/MS3/l082_nocturne.mscx,0,24-93 (C1-Bbb6),https://musescore.com/justisb,,Pianinas,45-93 (A2-Bbb6),Pianinas,24-85 (C1-Db6),,,,,,,,,,,,,,,,,,,,1892.0,406.573,52.38911585373353,4.578647887323944,239.87131462246637,0.9976917613636364,0.0016141528925619835,0.7024954803719008,0.06356534090909091,0.22703060433884298,0.007602660123966942,1.334904400910582e-05,9.633622340110928e-05,0.09085009589066001,0.006228658546305374,0.02541961623240085,0.00043650870977599677,1.1830529895767317e-07,8.114870466177249e-07,0.055028704880953634,0.00022769429790195966,0.002421693781671271,7.857089615609327e-06,0.11089885273193303,-0.35090022559577716
l087-01_images_lent,debussy_images,"1: 3/4, 21: 4/4, 22: 3/4","1: 3, 32: 6",57,57,172.0,57,57,172.0,968.33,1229,354,0,0,0,1894,1894,Claude Debussy,1,,,,,,,Public Domain,2021-02-23,,Microsoft Windows,http://musescore.com/user/27291303/scores/6630747,,Images oubliées,1,C. Debussy,3.6.2,1.2.9,debussy_images/MS3,debussy_images/MS3/l087-01_images_lent.mscx,0,26-97 (D1-C#7),https://musescore.com/user/27291303,https://imslp.org/wiki/Special:ReverseLookup/276950,Piano,48-97 (B#2-C#7),Piano,26-90 (D1-F#6),,,,,,,,,,,,,,,,,,,,1894.0,223.64600000000002,46.144353129499294,5.629825581395349,259.78465968539564,0.9947944835045971,0.0004732287723093564,0.22059221200648998,0.09315846403461331,0.6866549486208762,0.004326663061114116,6.455940032546997e-06,0.0001030462488165118,0.03873841687693176,0.016215159428340727,0.1609944455235183,0.0012874169704914398,1.6797009360796534e-08,0.0,0.008414557786129357,0.0004891946373917434,0.049049470924187,8.310883236151659e-07,0.11766141063097307,-0.3656649916982373
l087-02_images_souvenir,debussy_images,1: 3/4,1: 4,72,72,216.0,72,72,216.0,1367.0,1659,344,0,0,0,1894,1894,Claude Debussy,Images,,,,,,,,2022-02-06,,Microsoft Windows,,,2,"Dans le mouvement d'une ""Sarabande"", c'est-à-dire avec une élégance
grâve et lente, même un peu vieux portrait, souvenir du Louvre, etc.",,3.6.2,1.2.9,debussy_images/MS3,debussy_images/MS3/l087-02_images_souvenir.mscx,0,23-88 (B0-E6),tunescribers.com,https://imslp.org/wiki/Special:ReverseLookup/276950,Piano,49-88 (C#3-E6),Piano,23-76 (B0-E5),,,,,,,,,,,,,,,,,,,,1894.0,291.2395,44.4994583495714,6.328703703703703,281.6238868697412,0.9959705075445816,0.0009859396433470507,0.013974622770919067,0.040852194787379975,0.9451303155006858,0.0030864197530864196,1.5439269396255552e-06,0.00017124155943099074,0.002688336585805255,0.011107901914581787,0.4256609246432823,0.0005717861882838206,1.3863872513045824e-08,6.927261610948492e-07,4.821874280452505e-06,0.00011625882516405952,0.07477631991379517,9.521195765777994e-07,0.07313376971349435,-0.4509630518121518
l087-03_images_quelques,debussy_images,"1: 4/4, 75: 6/4, 90: 3/4, 91: 6/8","1: -1, 64: 5, 91: 2",186,186,677.0,186,186,677.0,2441.25,2846,1511,0,0,0,1894,1894,Claude Debussy,3,,,,,,,,2022-02-06,,Microsoft Windows,,,3,,,3.6.2,1.2.9,debussy_images/MS3,debussy_images/MS3/l087-03_images_quelques.mscx,0,26-94 (D1-A#6),tunescribers.com,https://imslp.org/wiki/Special:ReverseLookup/276950,Piano,37-94 (C#2-A#6),Piano,26-87 (D1-D#6),,,,,,,,,,,,,,,,,,,,1894.0,242.945,167.19833707217683,3.6059822747415065,602.9142398485254,1.0075251620560777,0.005650962518191081,0.06130094320891761,0.1818169917242854,0.5996085781174658,0.14409736237506246,0.0013581991668815449,0.0005800669554719182,0.006069845948876678,0.02805790902409089,0.09151799759425518,0.01928195272542048,1.5885174914488246e-05,8.72251071049814e-06,0.0022487134256897368,0.001713987312132875,0.024895559889224747,0.007774124309956593,0.11491133403226718,-0.2738107320588618
l095-01_pour_prelude,debussy_pour_le_piano,1: 3/4,1: 0,163,163,536.12,163,163,536.12,1882.87,3349,1965,0,0,0,1901,1901,Claude Debussy,,,,,,,,,2017-07-07,3.02,Microsoft Windows,https://musescore.com/user/2410551/scores/5066906,,Suite: Pour le piano,I. Prélude,,3.6.2,1.2.9,debussy_pour_le_piano/MS3,debussy_pour_le_piano/MS3/l095-01_pour_prelude.mscx,0,21-92 (A0-Ab6),https://musescore.com/user/2410551,,Piano,38-92 (D2-Ab6),Piano,21-86 (A0-D6),,,,,,,,,,,,,,,,,,,,1901.0,246.743,130.3672241968364,3.512030888607028,457.85371824124695,1.0327254316518073,0.022741695535927926,0.1058921035201426,0.06505553648277033,0.268572558076631,0.5050126747327209,0.00036407655179116237,0.0005448785779720717,0.0029305240444023706,0.005297083173163273,0.014153670411401966,0.029937560631032527,0.0024740557841703694,0.0007623852549171622,0.008474012494005208,0.00039555990178055244,0.005601591881549573,0.02978038187922608,0.12377671145029955,-0.29303279873571936
